reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,train,100.0,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv1,val,100.0,26032,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,train,29.496,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,conv3,val,29.982329440688382,26032,30
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,train,18.448,25000,30
BatchNorm,1.0,32,0.8889827904118008,1.0,fc1,val,15.361862323294407,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,train,100.0,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv1,val,100.0,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,train,99.996,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,conv3,val,100.0,26032,30
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,train,82.308,25000,30
DataAug,1.0,57,0.8549861708666256,0.99156,fc1,val,82.58297480024585,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,conv1,train,100.0,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,conv1,val,100.0,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,conv3,train,98.996,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,conv3,val,99.29317762753534,26032,30
DataAug,2.0,57,0.905001536570375,0.92236,fc1,train,17.092,25000,30
DataAug,2.0,57,0.905001536570375,0.92236,fc1,val,15.073755377996312,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,conv1,train,100.0,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,conv1,val,100.0,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,conv3,train,99.11999999999999,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,conv3,val,99.28549477566072,26032,30
DataAug,3.0,58,0.907037492317148,0.89144,fc1,train,19.792,25000,30
DataAug,3.0,58,0.907037492317148,0.89144,fc1,val,16.844652735095266,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,conv1,train,100.0,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,conv1,val,100.0,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,conv3,train,100.0,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,conv3,val,100.0,26032,30
Dropout,0.1,60,0.886140135218193,0.9992,fc1,train,71.612,25000,30
Dropout,0.1,60,0.886140135218193,0.9992,fc1,val,69.82175783650891,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,conv1,train,100.0,25000,30
Dropout,0.15,57,0.8867931776275353,0.999,conv1,val,100.0,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,conv3,train,100.0,25000,30
Dropout,0.15,57,0.8867931776275353,0.999,conv3,val,99.99615857406269,26032,30
Dropout,0.15,57,0.8867931776275353,0.999,fc1,train,69.89999999999999,25000,30
Dropout,0.15,57,0.8867931776275353,0.999,fc1,val,68.35433312845728,26032,30
Dropout,0.2,57,0.8906346035648433,0.99888,conv1,train,100.0,25000,30
Dropout,0.2,57,0.8906346035648433,0.99888,conv1,val,100.0,26032,30
Dropout,0.2,57,0.8906346035648433,0.99888,conv3,train,99.984,25000,30
Dropout,0.2,57,0.8906346035648433,0.99888,conv3,val,99.96926859250154,26032,30
Dropout,0.2,57,0.8906346035648433,0.99888,fc1,train,61.763999999999996,25000,30
Dropout,0.2,57,0.8906346035648433,0.99888,fc1,val,60.656115550092196,26032,30
Dropout,0.225,53,0.8899047326367547,0.99868,conv1,train,100.0,25000,30
Dropout,0.225,53,0.8899047326367547,0.99868,conv1,val,100.0,26032,30
Dropout,0.225,53,0.8899047326367547,0.99868,conv3,train,99.992,25000,30
Dropout,0.225,53,0.8899047326367547,0.99868,conv3,val,99.98463429625076,26032,30
Dropout,0.225,53,0.8899047326367547,0.99868,fc1,train,57.324,25000,30
Dropout,0.225,53,0.8899047326367547,0.99868,fc1,val,55.174400737553775,26032,30
Dropout,0.25,59,0.8939766441303012,0.9976,conv1,train,100.0,25000,30
Dropout,0.25,59,0.8939766441303012,0.9976,conv1,val,100.0,26032,30
Dropout,0.25,59,0.8939766441303012,0.9976,conv3,train,99.928,25000,30
Dropout,0.25,59,0.8939766441303012,0.9976,conv3,val,99.96926859250154,26032,30
Dropout,0.25,59,0.8939766441303012,0.9976,fc1,train,61.192,25000,30
Dropout,0.25,59,0.8939766441303012,0.9976,fc1,val,58.512599877074365,26032,30
Dropout,0.275,54,0.8912108174554395,0.99832,conv1,train,100.0,25000,30
Dropout,0.275,54,0.8912108174554395,0.99832,conv1,val,100.0,26032,30
Dropout,0.275,54,0.8912108174554395,0.99832,conv3,train,99.94800000000001,25000,30
Dropout,0.275,54,0.8912108174554395,0.99832,conv3,val,99.97311001843885,26032,30
Dropout,0.275,54,0.8912108174554395,0.99832,fc1,train,50.751999999999995,25000,30
Dropout,0.275,54,0.8912108174554395,0.99832,fc1,val,48.97818070067609,26032,30
Dropout,0.3,59,0.8975107559926244,0.99652,conv1,train,100.0,25000,30
Dropout,0.3,59,0.8975107559926244,0.99652,conv1,val,100.0,26032,30
Dropout,0.3,59,0.8975107559926244,0.99652,conv3,train,99.936,25000,30
Dropout,0.3,59,0.8975107559926244,0.99652,conv3,val,99.93853718500307,26032,30
Dropout,0.3,59,0.8975107559926244,0.99652,fc1,train,55.672,25000,30
Dropout,0.3,59,0.8975107559926244,0.99652,fc1,val,53.44960049170252,26032,30
Dropout,0.325,58,0.8960894283958205,0.995,conv1,train,100.0,25000,30
Dropout,0.325,58,0.8960894283958205,0.995,conv1,val,100.0,26032,30
Dropout,0.325,58,0.8960894283958205,0.995,conv3,train,99.788,25000,30
Dropout,0.325,58,0.8960894283958205,0.995,conv3,val,99.86170866625692,26032,30
Dropout,0.325,58,0.8960894283958205,0.995,fc1,train,47.292,25000,30
Dropout,0.325,58,0.8960894283958205,0.995,fc1,val,45.25968039336202,26032,30
Dropout,0.35,59,0.9009296250768284,0.99576,conv1,train,100.0,25000,30
Dropout,0.35,59,0.9009296250768284,0.99576,conv1,val,100.0,26032,30
Dropout,0.35,59,0.9009296250768284,0.99576,conv3,train,99.888,25000,30
Dropout,0.35,59,0.9009296250768284,0.99576,conv3,val,99.8578672403196,26032,30
Dropout,0.35,59,0.9009296250768284,0.99576,fc1,train,47.372,25000,30
Dropout,0.35,59,0.9009296250768284,0.99576,fc1,val,43.665488629379226,26032,30
Dropout,0.4,48,0.8991625691456668,0.98628,conv1,train,100.0,25000,30
Dropout,0.4,48,0.8991625691456668,0.98628,conv1,val,100.0,26032,30
Dropout,0.4,48,0.8991625691456668,0.98628,conv3,train,99.28,25000,30
Dropout,0.4,48,0.8991625691456668,0.98628,conv3,val,99.51213890596189,26032,30
Dropout,0.4,48,0.8991625691456668,0.98628,fc1,train,30.248,25000,30
Dropout,0.4,48,0.8991625691456668,0.98628,fc1,val,27.83497234173325,26032,30
Dropout,0.425,60,0.9035802089735708,0.98992,conv1,train,100.0,25000,30
Dropout,0.425,60,0.9035802089735708,0.98992,conv1,val,100.0,26032,30
Dropout,0.425,60,0.9035802089735708,0.98992,conv3,train,99.348,25000,30
Dropout,0.425,60,0.9035802089735708,0.98992,conv3,val,99.50445605408727,26032,30
Dropout,0.425,60,0.9035802089735708,0.98992,fc1,train,33.316,25000,30
Dropout,0.425,60,0.9035802089735708,0.98992,fc1,val,29.840196681007992,26032,30
Dropout,0.45,56,0.9022741241548864,0.98576,conv1,train,100.0,25000,30
Dropout,0.45,56,0.9022741241548864,0.98576,conv1,val,100.0,26032,30
Dropout,0.45,56,0.9022741241548864,0.98576,conv3,train,98.912,25000,30
Dropout,0.45,56,0.9022741241548864,0.98576,conv3,val,99.13952059004303,26032,30
Dropout,0.45,56,0.9022741241548864,0.98576,fc1,train,25.863999999999997,25000,30
Dropout,0.45,56,0.9022741241548864,0.98576,fc1,val,23.582513829133376,26032,30
Dropout,0.475,58,0.902120467117394,0.9818,conv1,train,100.0,25000,30
Dropout,0.475,58,0.902120467117394,0.9818,conv1,val,100.0,26032,30
Dropout,0.475,58,0.902120467117394,0.9818,conv3,train,98.1,25000,30
Dropout,0.475,58,0.902120467117394,0.9818,conv3,val,98.52489244007376,26032,30
Dropout,0.475,58,0.902120467117394,0.9818,fc1,train,31.176,25000,30
Dropout,0.475,58,0.902120467117394,0.9818,fc1,val,28.3919791026429,26032,30
Dropout,0.5,55,0.9017363245236631,0.97488,conv1,train,100.0,25000,30
Dropout,0.5,55,0.9017363245236631,0.97488,conv1,val,100.0,26032,30
Dropout,0.5,55,0.9017363245236631,0.97488,conv3,train,97.288,25000,30
Dropout,0.5,55,0.9017363245236631,0.97488,conv3,val,97.76044867854948,26032,30
Dropout,0.5,55,0.9017363245236631,0.97488,fc1,train,24.468,25000,30
Dropout,0.5,55,0.9017363245236631,0.97488,fc1,val,22.21496619545175,26032,30
Dropout,0.525,56,0.9003149969268592,0.97212,conv1,train,100.0,25000,30
Dropout,0.525,56,0.9003149969268592,0.97212,conv1,val,100.0,26032,30
Dropout,0.525,56,0.9003149969268592,0.97212,conv3,train,95.456,25000,30
Dropout,0.525,56,0.9003149969268592,0.97212,conv3,val,96.6541180086048,26032,30
Dropout,0.525,56,0.9003149969268592,0.97212,fc1,train,22.064,25000,30
Dropout,0.525,56,0.9003149969268592,0.97212,fc1,val,20.048401966810083,26032,30
Dropout,0.55,53,0.9029655808236016,0.96744,conv1,train,100.0,25000,30
Dropout,0.55,53,0.9029655808236016,0.96744,conv1,val,100.0,26032,30
Dropout,0.55,53,0.9029655808236016,0.96744,conv3,train,91.556,25000,30
Dropout,0.55,53,0.9029655808236016,0.96744,conv3,val,92.35172095881991,26032,30
Dropout,0.55,53,0.9029655808236016,0.96744,fc1,train,15.128,25000,30
Dropout,0.55,53,0.9029655808236016,0.96744,fc1,val,13.299016594960051,26032,30
Dropout,0.575,53,0.8979333128457283,0.95428,conv1,train,100.0,25000,30
Dropout,0.575,53,0.8979333128457283,0.95428,conv1,val,100.0,26032,30
Dropout,0.575,53,0.8979333128457283,0.95428,conv3,train,90.512,25000,30
Dropout,0.575,53,0.8979333128457283,0.95428,conv3,val,91.29148740012293,26032,30
Dropout,0.575,53,0.8979333128457283,0.95428,fc1,train,14.643999999999998,25000,30
Dropout,0.575,53,0.8979333128457283,0.95428,fc1,val,13.07621389059619,26032,30
Dropout,0.6,57,0.8959741856177013,0.94888,conv1,train,100.0,25000,30
Dropout,0.6,57,0.8959741856177013,0.94888,conv1,val,100.0,26032,30
Dropout,0.6,57,0.8959741856177013,0.94888,conv3,train,89.084,25000,30
Dropout,0.6,57,0.8959741856177013,0.94888,conv3,val,90.12753534111863,26032,30
Dropout,0.6,57,0.8959741856177013,0.94888,fc1,train,13.919999999999998,25000,30
Dropout,0.6,57,0.8959741856177013,0.94888,fc1,val,12.569145666871542,26032,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,conv1,train,100.0,25000,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,conv1,val,100.0,26032,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,conv3,train,97.052,25000,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,conv3,val,97.29563614013522,26032,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,fc1,train,6.52,25000,30
EarlyStopping,3.0,9,0.8597879532882606,0.91344,fc1,val,6.922249539028888,26032,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,conv1,train,100.0,25000,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,conv1,val,100.0,26032,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,conv3,train,99.764,25000,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,conv3,val,99.73110018438844,26032,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,fc1,train,20.200000000000003,25000,30
EarlyStopping,5.0,14,0.8678549477566072,0.97612,fc1,val,20.428703134603566,26032,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,conv1,train,100.0,25000,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,conv1,val,100.0,26032,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,conv3,train,99.72,25000,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,conv3,val,99.67347879532883,26032,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,fc1,train,20.247999999999998,25000,30
EarlyStopping,8.0,13,0.8658574062692072,0.95992,fc1,val,20.27120467117394,26032,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,conv1,train,100.0,25000,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,conv1,val,100.0,26032,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,conv3,train,99.78399999999999,25000,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,conv3,val,99.71957590657652,26032,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,fc1,train,19.784,25000,30
EarlyStopping,12.0,14,0.868661647203442,0.97176,fc1,val,20.2020590043024,26032,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,conv1,train,100.0,25000,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,conv1,val,100.0,26032,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,conv3,train,97.832,25000,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,conv3,val,98.4519053472649,26032,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,fc1,train,12.276,25000,30
EarlyStopping,15.0,13,0.8720036877688998,0.96664,fc1,val,12.273355869698833,26032,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,conv1,train,100.0,25000,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,conv1,val,100.0,26032,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,conv3,train,100.0,25000,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,conv3,val,100.0,26032,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,fc1,train,87.58399999999999,25000,30
GaussianNoise,0.01,49,0.8762292562999385,1.0,fc1,val,87.93023970497849,26032,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,conv1,train,100.0,25000,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,conv1,val,100.0,26032,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,conv3,train,99.996,25000,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,conv3,val,100.0,26032,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,fc1,train,81.66,25000,30
GaussianNoise,0.05,47,0.8704287031346035,0.999,fc1,val,83.00169022741241,26032,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,conv1,train,100.0,25000,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,conv1,val,100.0,26032,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,conv3,train,100.0,25000,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,conv3,val,99.98847572218807,26032,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,fc1,train,69.228,25000,30
GaussianNoise,0.1,50,0.8657421634910879,0.99716,fc1,val,70.93961278426552,26032,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,conv1,train,100.0,25000,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,conv1,val,100.0,26032,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,conv3,train,99.29599999999999,25000,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,conv3,val,98.97433927473878,26032,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,fc1,train,17.112,25000,30
GaussianNoise,0.2,27,0.8574062692071297,0.95648,fc1,val,18.62707437000615,26032,30
L1,0.0,57,0.8801090964966195,1.0,conv1,train,100.0,25000,30
L1,0.0,57,0.8801090964966195,1.0,conv1,val,100.0,26032,30
L1,0.0,57,0.8801090964966195,1.0,conv3,train,100.0,25000,30
L1,0.0,57,0.8801090964966195,1.0,conv3,val,100.0,26032,30
L1,0.0,57,0.8801090964966195,1.0,fc1,train,87.128,25000,30
L1,0.0,57,0.8801090964966195,1.0,fc1,val,88.0301167793485,26032,30
L1,0.0001,24,0.8674323909035033,0.94752,conv1,train,100.0,25000,30
L1,0.0001,24,0.8674323909035033,0.94752,conv1,val,100.0,26032,30
L1,0.0001,24,0.8674323909035033,0.94752,conv3,train,99.568,25000,30
L1,0.0001,24,0.8674323909035033,0.94752,conv3,val,99.44299323909036,26032,30
L1,0.0001,24,0.8674323909035033,0.94752,fc1,train,11.940000000000001,25000,30
L1,0.0001,24,0.8674323909035033,0.94752,fc1,val,11.66641057160418,26032,30
L1,0.0005,1,0.1958743085433313,0.18988,conv1,train,100.0,25000,30
L1,0.0005,1,0.1958743085433313,0.18988,conv1,val,99.99615857406269,26032,30
L1,0.0005,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.0005,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.0005,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.0005,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.001,1,0.1958743085433313,0.18988,conv1,train,99.996,25000,30
L1,0.001,1,0.1958743085433313,0.18988,conv1,val,100.0,26032,30
L1,0.001,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.001,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.001,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.001,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.0015,1,0.1958743085433313,0.18988,conv1,train,99.984,25000,30
L1,0.0015,1,0.1958743085433313,0.18988,conv1,val,99.81561155500923,26032,30
L1,0.0015,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.0015,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.0015,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.0015,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.002,1,0.1958743085433313,0.18988,conv1,train,99.46000000000001,25000,30
L1,0.002,1,0.1958743085433313,0.18988,conv1,val,98.36739397664414,26032,30
L1,0.002,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.002,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.002,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.002,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.003,1,0.1958743085433313,0.18988,conv1,train,92.31200000000001,25000,30
L1,0.003,1,0.1958743085433313,0.18988,conv1,val,93.2198832206515,26032,30
L1,0.003,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.003,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.003,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.003,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.005,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L1,0.005,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L1,0.005,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.005,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.005,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.005,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.01,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L1,0.01,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L1,0.01,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.01,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.01,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.01,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.02,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L1,0.02,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L1,0.02,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.02,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.02,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.02,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.05,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L1,0.05,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L1,0.05,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.05,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.05,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.05,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.1,1,0.1958743085433313,0.18988,conv1,train,0.328,25000,30
L1,0.1,1,0.1958743085433313,0.18988,conv1,val,0.29963122311001844,26032,30
L1,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L1,0.2,1,0.1958743085433313,0.18988,conv1,train,0.024,25000,30
L1,0.2,1,0.1958743085433313,0.18988,conv1,val,0.011524277811923786,26032,30
L1,0.2,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L1,0.2,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L1,0.2,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L1,0.2,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.0001,47,0.8796481253841426,1.0,conv1,train,100.0,25000,30
L2,0.0001,47,0.8796481253841426,1.0,conv1,val,100.0,26032,30
L2,0.0001,47,0.8796481253841426,1.0,conv3,train,99.996,25000,30
L2,0.0001,47,0.8796481253841426,1.0,conv3,val,99.99615857406269,26032,30
L2,0.0001,47,0.8796481253841426,1.0,fc1,train,56.208000000000006,25000,30
L2,0.0001,47,0.8796481253841426,1.0,fc1,val,56.119391518131536,26032,30
L2,0.0005,47,0.874039643515673,0.99832,conv1,train,100.0,25000,30
L2,0.0005,47,0.874039643515673,0.99832,conv1,val,100.0,26032,30
L2,0.0005,47,0.874039643515673,0.99832,conv3,train,99.996,25000,30
L2,0.0005,47,0.874039643515673,0.99832,conv3,val,99.99615857406269,26032,30
L2,0.0005,47,0.874039643515673,0.99832,fc1,train,34.664,25000,30
L2,0.0005,47,0.874039643515673,0.99832,fc1,val,35.44483712354026,26032,30
L2,0.001,32,0.8658958205285802,0.97512,conv1,train,100.0,25000,30
L2,0.001,32,0.8658958205285802,0.97512,conv1,val,100.0,26032,30
L2,0.001,32,0.8658958205285802,0.97512,conv3,train,99.97200000000001,25000,30
L2,0.001,32,0.8658958205285802,0.97512,conv3,val,99.92701290719114,26032,30
L2,0.001,32,0.8658958205285802,0.97512,fc1,train,23.268,25000,30
L2,0.001,32,0.8658958205285802,0.97512,fc1,val,24.919330055316532,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,conv1,train,100.0,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,conv1,val,100.0,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,conv3,train,99.83999999999999,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,conv3,val,99.87707437000614,26032,30
L2,0.0015,55,0.8695067609096496,0.97248,fc1,train,12.803999999999998,25000,30
L2,0.0015,55,0.8695067609096496,0.97248,fc1,val,14.582052858020896,26032,30
L2,0.002,41,0.868661647203442,0.9518,conv1,train,100.0,25000,30
L2,0.002,41,0.868661647203442,0.9518,conv1,val,100.0,26032,30
L2,0.002,41,0.868661647203442,0.9518,conv3,train,99.52,25000,30
L2,0.002,41,0.868661647203442,0.9518,conv3,val,99.43531038721574,26032,30
L2,0.002,41,0.868661647203442,0.9518,fc1,train,7.144,25000,30
L2,0.002,41,0.868661647203442,0.9518,fc1,val,8.170712968653964,26032,30
L2,0.003,1,0.1958743085433313,0.18988,conv1,train,98.604,25000,30
L2,0.003,1,0.1958743085433313,0.18988,conv1,val,97.71051014136447,26032,30
L2,0.003,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.003,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.003,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.003,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.005,1,0.1958743085433313,0.18988,conv1,train,99.94,25000,30
L2,0.005,1,0.1958743085433313,0.18988,conv1,val,99.62354025814383,26032,30
L2,0.005,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.005,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.005,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.005,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.01,1,0.1958743085433313,0.18988,conv1,train,99.21600000000001,25000,30
L2,0.01,1,0.1958743085433313,0.18988,conv1,val,98.9820221266134,26032,30
L2,0.01,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.01,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.01,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.01,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.02,1,0.1958743085433313,0.18988,conv1,train,99.444,25000,30
L2,0.02,1,0.1958743085433313,0.18988,conv1,val,98.77842655193608,26032,30
L2,0.02,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.02,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.02,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.02,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.05,1,0.1958743085433313,0.18988,conv1,train,3.604,25000,30
L2,0.05,1,0.1958743085433313,0.18988,conv1,val,3.568684695759066,26032,30
L2,0.05,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.05,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.05,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.05,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.2,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L2,0.2,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L2,0.2,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.2,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.2,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.2,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
